event_name,start_date,end_date,location,organization_url,cfp_url,sponsors,cfp_due_date,organization_name,region,paid_or_free,event_url,tags,event_type,price_range,acronym,url_twitter,url_linkedin,image_url,language,featured,hash_tag,virtual,in_person,price,code_of_conduct_url,url_other
Juneteenth 2021,2021-06-19,2021-06-19,Online,https://juneteenthconf.com/,,,,"JuneteenthConf, Unl.",Online,,https://www.juneteenthconf.com/sessions/,tech,Conference,,,https://twitter.com/juneteenthconf,None,,English,0.0,,Yes,No,,,None
PyCon India,2021-09-17,2021-09-20,,,,,, ,,,https://in.pycon.org/2021/,python,Conference,,,,,,,0.0,,,,,,https://www.youtube.com/@PythonIndia
PyData Global 2021,2021-10-28,2021-10-30,Online,https://numfocus.org,,,,NumFOCUS,Online,free,https://pydata.org/global2021/,python,Conference,$0,,https://twitter.com/PyData,https://www.linkedin.com/company/numfocus/,,English,0.0,,Yes,No,$0,,https://www.youtube.com/@PyDataTV
Python Pizza 2021,2021-12-11,2021-12-11,,,,,,Hamburg Python Pizza,,,https://hamburg.python.pizza/,python,Conference,,,https://twitter.com/pythonpizzaconf/,https://www.linkedin.com/company/python-pizza-hamburg/,,,0.0,,,,,,https://www.youtube.com/watch?v=hXKdtY8gHbs
PyCascades 2022,2022-02-05,2022-02-06,Online,https://pycascades.com/,,,,PyCascades,Online,,https://2022.pycascades.com,python,Conference,,,https://twitter.com/pycascades,https://www.linkedin.com/company/pycascades/,,English,0.0,,Yes,No,,https://2022.pycascades.com/about/code-of-conduct/,https://www.youtube.com/c/PyCascades
ESMAR,2022-02-21,2022-02-24,,https://www.eshackathon.org,,,,Evidence Synthesis Hackathon,,,https://esmarconf.github.io/events.html,research,Conference,,,https://twitter.com/eshackathon,None,,,0.0,,,,,,https://www.youtube.com/@user-lm8qz3jl6g
VS Code Day 2022,2022-03-03,2022-03-03,Online,,,,,Microsoft,Online,,https://code.visualstudio.com/vscode-day/,,Conference,,,,,,English,0.0,,Yes,No,,,
WiDS 2022,2022-03-07,2022-03-07,"Palo Alto, Ca",https://www.widsconference.org/,,,,Women in Data Science,Canada / USA,,https://www.widsconference.org/videos-2022.html,women-focused,Conference,,WiDS,,,,English,0.0,,Yes,Yes,,,
Girl Geek Elevate 2022,2022-03-08,2022-03-08,,,,,,,,,https://girlgeek.io/conferences/elevate2022/,,Conference,,,,,,,0.0,,,,,,
PyTexas 2022,2022-03-26,2022-03-27,"Austin, TX, USA",https://www.pytexas.org/,https://www.pytexas.org/speaking,https://www.pytexas.org/sponsors/prospectus,,PyTexas,Canada / USA,,https://ti.to/pytexas/pytexas-2022/en,python,Conference,,,https://twitter.com/pytexas,None,,English,0.0,,,Yes,,https://www.pytexas.org/about/code-of-conduct,https://www.youtube.com/channel/UCkn0L-L6auy9YAmlSy9Kv1Q/playlists
AI & Statistics 2022,2022-03-28,2022-03-30,Online,https://aistats.org/,,,,Society for AI and Statistics,Online,,http://aistats.org/aistats2022/,"AI, statistics",Conference,,AISTATS,,,,English,0.0,,Yes,No,,https://aistats.org/aistats2022/code-conduct.html,
Postgres Conf 2022,2022-04-07,2022-04-08,"San Jose, CA, USA",https://postgresconf.org/,,,,,Canada / USA,,https://postgresconf.org/conferences/SV2022,database,Conference,,,,,,English,0.0,,Unknown,Yes,,,
PyCon DE & PyData Berlin 2022,2022-04-11,2022-04-13,"Berlin, Germany",,,,,,Europe,,https://2022.pycon.de,python,Conference,,,,,,English,0.0,,Yes,Yes,,,
ODSC East 2022,2022-04-19,2022-04-23,"Boston, MA, USA",,,,,Open Data Science,Canada / USA,,https://odsc.com/boston/,python,Conference,,,,,,,0.0,,Unknown,Yes,,,
ICLR 2022: International Conference on Learning Representations,2022-04-25,2022-04-29,Online,,,,,,Online,,https://iclr.cc/Conferences/2022,,Conference,,ICLR,,,,,0.0,,Yes,No,,,
Wiki Workshop,2022-04-25,2022-04-25,Online,,,,,Wikimedia,Online,,https://wikiworkshop.org/2022/,,Conference,,,,,,,0.0,,Yes,No,,,
